// key	CHAT_SPA_
sc001_spa_1	ふぅ…\心も体もしっかりケアしなくちゃですよね♥
sc058_spa_2	為すべきこと…為すべきことが\確かにあったはずなのに…\私の名と、使命、業に関わる何かが…\そなたは、何か知っているのか？
sc058_spa_3	若是経典所在之処、即為有佛、若尊重弟子…\この経典の在る所は聖なる地となり、\この経典を説く弟子は師と等しくなる。
sc058_spa_4	そなたを恨むか？\さぁな…そなたを恨むということは、\すなわち私を衆生と定義したという意味を持つ。\私が私の考えで、生に執着しているのならば\そうだろうが…
sc058_spa_5	ふと思い出すことがある。\そして、その言葉で表すことができない、\いくつかの言葉と考えが私の口を通じて\勝手に流れ出てくるのだ。\本当におかしなことだと思わないか？
sc058_spa_max	私がそなたを滅度させれば、\それは私の供として、\一体になったということだから、\私は仏ではなく全て虚像という意味になる。
sc060_spa_1	ベイビーも一緒に…どう？
sc060_spa_2	わたしの事を信じ切られても\困るのよ、ベイビー。\なんでかって？\あたしは、ベイビーのことを\信じてないから。
sc060_spa_3	ずいぶんと死にそうな顔をしているのね？\サポーター達にこき使われたの？\ふふ、かわいそうね。
sc060_spa_4	素晴らしいじゃないベイビー！\今日は頑張ったんだって？\たまにはいいとこ見せてくれるじゃない。
sc060_spa_max	ベイビーがいつまでも不幸だとは\限らないよ。\誰にもわからないことだけれども、\一生懸命頑張ったベイビーの努力が\報われる日がいつか訪れるわよ。
sc061_spa_1	いいメロディーが浮かびそう～♪
sc061_spa_2	相手を知るっていうのは、\つまり…一種のインスピレーションを\分かち合う行為だよ。\悪魔様みたいな寂しがり屋は珍しいけどね！
sc061_spa_3	じゃじゃ～ん♪今日は、ロックスタイルで\やってみましょう？\大丈夫、どうにかなるって！\つまり、悪魔でも道にさえ迷わなきゃ\大丈夫ってことなんだけど。
sc061_spa_4	この場を借りて話すって言っても、\特に言う事はないんだよね。\私は、いつも100％本気で悪魔様と\向き合ってるからさ！\でも、悪魔様は…隠し事が多そうだね。
sc061_spa_5	今日は、特別積極的だね～？\気持ちの変化でもあった？冗談だって！\いま、逃げようとしたでしょ～？\これくらいの冗談もスルーできないの？\面白くないって言われない？
sc061_spa_max	いつも気にかけてくれてありがと～！\実は、私が気になるんでしょ？\ふふふ、私は悪魔様のことが気になるけどね。\初めての出会いから、今までずっとね。
sc062_spa_1	ふふふ、もしかして覗きたいの？\私くらい可愛かったら当然よね♥
sc062_spa_2	あ、勝手に来たらダメだよ！\私に会いたい気持ちはわかるけど、\マナーは守って。ね？悪魔くん。
sc062_spa_3	ねぇ悪魔くん、覚えてる？\私たちが初めて出会った日のこと。\あの日は…って何？その顔？\全く覚えてないって顔してるけどー？\…もう。
sc062_spa_4	悪魔くんは女を知らなさすぎだね。\ま、それでもいいけど。\私のことだけ知っていればいいから。
sc062_spa_max	うーん、気持ち良い！\一日中温泉を楽しんでいたいなー。\あら？構ってもらえなくて拗ねてるの？\悪魔くんったら可愛いね♥
sc063_spa_1	ふぅ…\あ…悪魔さん…だ。\日記、持ってくればよかった…
sc063_spa_2	き、急にこっちに…来られると…\ビックリ…します。
sc063_spa_3	あ、悪魔さん…もう少し、だけ…近くに…\私の…声…小さい、から…悪魔さんと…\お話し、したいです…
sc063_spa_4	悪魔さん…私のこと…まだ、苦手？\…私は…悪魔さんを…\もっと、知りたい、です…
sc063_spa_max	悪魔さんが、いないと…\私…生きて、いけないです…それなのに…\今さら重荷、だなんて…\ひどい…ひどいです！
sc064_spa_1	剣の研ぎ方を知らない愚かな剣士は\絶対に勝つことなんてできないわ。
sc064_spa_2	あなたはいつ見ても成長しないわね。\つまらないやつ。
sc064_spa_3	私の後をしっかり付いてくることね。\私は、取り残された奴の面倒を見るほど\甘くないわ。
sc064_spa_4	いつまで弱さに足を引っ張られるつもり？\魔王になるつもりなら、それに見合った\覇気を見せて。
sc064_spa_5	物事を複雑に考える奴で、\自分の役割を果たすことができる奴なんて\いた試しがないわ。\ただ1つだけ考えなさい。\《どんな存在になりたいのか》を。
sc064_spa_max	名声は自分だけのものじゃないわ。\あなたを応援し、あなたと一緒に戦う\全員のものよ。\もちろん、私も含めてね。
sc065_spa_1	ふう…\ふふ、坊やも一緒にどう？
sc065_spa_2	どこかからバラの香りがするわね。\誰かが温泉にバラを入れたのかしら？\おほほほ♥可愛らしいのね♥
sc065_spa_3	私の魅力が何か知りたいって？\おほほほ…本当に知らないの？\それとも私の気を引くための下心なの？
sc065_spa_4	この沈んだ気持ちを、坊やが私のために\変えてくれたらいいのに。
sc065_spa_max	私は恋愛に興味はないわ。\恋は秘密の悪戯だから…\それでも恋愛について知りたいのならば、\似たようなものくらいは、\教えてあげられるわよ…
sc066_spa_1	この姿は…少々、無防備すぎないか…？
sc066_spa_2	…なんだ、お前も来たのか。\今日は、俺一人でゆっくり\入りたい気分なんだ。
sc066_spa_3	お前が持ってる魔力は極わずかだ。\俺なら、ウロウロしないで、魔力を\消費しないように大人しくするけどな。\まぁ、子供には分からないか…
sc066_spa_4	最近は、馬鹿な悪魔をからかうのに\ハマってるよ。\思った通りに反応するからな。\…なに他人事みたいに笑ってるんだ？\お前もそれに含まれているんだぞ。
sc066_spa_max	俺は病弱だから、体を動かすのは\なるべくならしたくない。\それが俺の仕事だから仕方無く\やっているだけだ。だからお前も、\もっと俺を効率的に使ってくれ。
sc067_spa_1	しばし死を忘れるのもよかろう。
sc067_spa_2	人生とは、監獄のようなもの。\そして、死をもって罪人は永遠の自由を\享受できるようになるのだ。
sc067_spa_3	何もせず、ただ時間が過ぎていくのを\待つのか？\それならば、今すぐ私と共に\この退屈な生を終わらせるのはどうだ？
sc067_spa_4	私が望むことはただ1つ、死だけだ。\しかし…ここにいると、生きることとは、\ただ苦しいものだけということではないと\思える。
sc067_spa_5	人生とは、数えきれないくらい\様々なものを含んでいるが、その最後は\結局《死》だけだ。\だから、お前の人生を疎かにするな。
sc067_spa_max	生と死は、分かち合えない。\それは、悪魔とチャイルドも同じこと。\だから、お前が生を選ぶのなら、\私も生を選ぶだろう。
sc068_spa_1	お風呂上りは…\「アムブロシア特製シェイク」なのだ！
sc068_spa_2	わたしのレシピの秘密を知りたい？\えーっと、本当に秘密なんだけど…\あえて言うならば…\わたしの生まれ持った才能なのだ！
sc068_spa_3	悪魔くんのために、\甘～いお菓子を用意したの！\期待してくれる？
sc068_spa_4	わたしの作ったお菓子の味が分からないの？\そんなはずは…よし！\次は美味しくてほっぺたが落ちちゃう、\とびっきりのお菓子を\作るからね！
sc068_spa_max	アムブロシア特製デザートの秘密のソースを\教えてあげる。はい！これだよ！\そう、つまり…悪魔くんを前に\恥ずかしさでいっぱいになった少女の…\初恋♥
sc069_spa_1	こんな所で会うなんて。
sc069_spa_2	他のチャイルドのマスターは、\みんな凄いのに、なんでうちのマスターだけ\こんな感じなんだろう？
