// key	CHAT_SPA_
sc001_spa_1	Pfiou... Il faut prendre soin de soi ♥
sc054_spa_3	Rassemblez votre courage. Votre destin est de devenir le Roi des démons, j'en suis certaine.
sc054_spa_max	Il n'est pas de liens plus forts que ceux forgés sur le champ de bataille. C'est ce lien-là qui nous unit. Et je sais comment lui faire atteindre de nouveaux sommets...
sc056_spa_1	Je sens la puissance monter en moi !\Notre prochaine rencontre sera la dernière !
sc056_spa_2	Je ne réponds qu'à un maître : le Dieu tout-puissant. Les démons n'existent que pour être éliminés.
sc056_spa_3	Tu ne crois pas que tu en fais un peu trop ? Ne viens pas te plaindre si ton inattention te vaut d'être purifié ! Mais non, je te charrie.
sc056_spa_max	Ô, vil démon, rejette tes désirs matériels et entends l'appel de Dieu. Même un démon tel que toi peut obtenir Son pardon.
sc057_spa_1	Ce genre de choses est agréable, de temps à autre...
sc057_spa_2	Salut, mon client adoré. Tu as pris du temps rien que pour moi ? Comme c'est gentil ! Qu'est-ce que tu as à me raconter aujourd'hui, hmm ?
sc057_spa_3	Tiens, tiens, regardez qui voilà. Exactement la personne que je voulais voir. Je pensais justement à toi, tu sais. Pourquoi ? Eh bien...
sc057_spa_4	Parfois, j'aime bien rester ici sans rien faire pendant un long moment. À quoi est-ce que je pense ? Eh bien... je suis une disciple démoniaque, non ? Alors je pense à des démons, bien sûr !
sc057_spa_5	Encore une journée difficile ? Pas la peine de faire semblant, c'est écrit sur ton front. Tu es un vrai livre ouvert. Ça fait de toi un démon unique, le seul petit démon innocent et inexpérimenté que je connaisse.
sc057_spa_max	Salut, mon mignon petit client. Comme c'est gentil de t'échapper pour venir me retrouver. Comment je le sais ? Hi hi. Il suffit de te regarder.
sc058_spa_1	Ce qui est négligé deviendra un devoir...
sc058_spa_2	J'étais censée faire quelque chose. Ça concernait mon nom, ma tâche, mon destin. Le sais-tu ?
sc058_spa_3	若是経典所在之処, 即為有佛, 若尊重弟子. "Ce texte se trouve dans un pays sacré. C'est quand il parvient à en expliquer la nuance que le disciple devient maître."
sc058_spa_4	Ai-je de la rancune à ton égard ? Je me le demande. Ça impliquerait que je sois attachée aux vivants, et donc que je sois l'un d'entre eux. Hmm... Peut-être est-ce le cas, après tout.
sc058_spa_5	Une idée me vient à l'esprit. Les mots et pensées tombent de mes lèvres spontanément pour exprimer quelque chose que je peine à définir. Ne trouves-tu pas ça étrange ?
sc058_spa_max	Si je te menais au Nirvana et que toi, mon compagnon, tu fusionnais avec moi, alors je ne ferais pas partie des morts et le reste ne serait que faux-semblants.
sc060_spa_1	Tu viens, chéri ?
sc060_spa_2	Ça me gêne que tu me fasses confiance, bébé. Pourquoi ? Parce que ce n'est pas réciproque. Mais alors pas du tout.
sc060_spa_3	Tu as l'air d'avoir déjà un pied dans la tombe. Tes assistantes te donnent du fil à retordre ? Hi hi. Pauvre bébé.
sc060_spa_4	Tu es incroyable, bébé ! Tu t'es donné à fond, aujourd'hui ? Tu devrais me montrer cette part de toi plus souvent.
sc060_spa_max	Tu ne peux pas rester au plus bas indéfiniment, bébé. Il faut juste continuer à faire de ton mieux. Ça finira forcément par payer.
sc061_spa_1	Ça devrait m'inspirer de jolies mélodies ♪
sc061_spa_2	Apprendre à connaître quelqu'un, ça passe par des révélations. Par exemple, j'ai appris que tu étais un vrai solitaire, M. Démon, et c'est plutôt rare pour un démon !
sc061_spa_3	OUAIIIS ! ♪ Prêt à te donner à fond ? Allez, je sais que tu peux le faire ! Même un démon en est capable. Garde les yeux sur ton objectif et tout ira bien.
sc061_spa_4	Je sais qu'on se sert de cet espace comme excuse pour discuter, mais il n'y a rien à dire. Après tout, tu lis en moi comme dans un livre ouvert, M. Démon ! Toi, par contre, tu adores garder tes secrets, hein ?
sc061_spa_5	Comme tu y vas aujourd'hui ! Tu as changé d'avis ? Ha ha, c'est bon, je te taquine ! Tu n'allais pas commencer à m'éviter, si ? Où est ton sens de l'humour ? On va te prendre pour un vrai rabat-joie.
sc061_spa_max	Merci de toujours penser à moi ! Tu tiens vraiment à moi, hein ? Hi hi. Eh bien, c'est réciproque. Ça l'est depuis le jour de notre rencontre.
sc062_spa_1	Hi hi, tu viens m'admirer ? Vu ma beauté, je peux comprendre ♥
sc062_spa_2	Hé ! Tu te crois où, là ? Je comprends que tu veuilles venir me voir, mais n'en oublie pas les bonnes manières pour autant. Compris ?
sc062_spa_3	Hé, démon, tu te souviens de notre rencontre ? Ah, ce jour-là... Une seconde. Je le vois dans tes yeux. Tu n'en as aucun souvenir, avoue !
sc062_spa_4	Tu ne connais vraiment rien aux femmes, démon. Mais tu sais quoi ? Ce n'est pas grave. Je suis la seule que tu as besoin de connaître.
sc062_spa_max	Aaah, ça fait du bien. Je pourrais passer toute la journée aux sources chaudes. Oh, tu es triste que je ne fasse pas attention à toi ? Oh, démon, tu es si mignon ♥
sc063_spa_1	O-oh, bonjour, démon.\J'aurais dû prendre mon journal...
sc063_spa_2	Tu m'as fait peur, à surgir de nulle part.
sc063_spa_3	Tu peux venir un peu plus près ? J'ai du mal à parler fort. M-Mais j'ai vraiment envie de te parler.
sc063_spa_4	Tu as toujours du mal à m'aborder ? J'aimerais apprendre à mieux te connaître.
sc063_spa_max	Je ne peux pas vivre sans toi. Et voilà que tu me traites de fardeau ? Tu n'as donc pas de cœur ?
sc064_spa_1	Un bretteur incapable d'aiguiser une épée est un imbécile qui ne connaîtra que la défaite.
sc064_spa_2	Je m'attendais à ce que tu sois plus mature, mais tu ne fais que m'ennuyer.
sc064_spa_3	Il faut que tu arrives à tenir le rythme. Je ne suis pas gentille au point de chaperonner les traînards.
sc064_spa_4	Combien de temps encore laisseras-tu ta faiblesse te limiter ? Si tu as assez d'ambition pour devenir le Roi des démons, prouve-le !
sc064_spa_5	Ce n'est pas en te posant des questions que tu accompliras quoi que ce soit. Il ne faut t'en poser qu'une : qui souhaites-tu être ?
sc064_spa_max	Toute la gloire ne te revient pas. Elle doit être partagée entre tous ceux qui t'aident et combattent à tes côtés, moi y compris.
sc065_spa_1	Aaah... Tu viens, mon petit ?
sc065_spa_2	C'est un parfum de roses fraîchement coupées que je sens ? On en a peut-être mis dans le bain. Oh ho ho ho ♥ Comme c'est charmant ! ♥
sc065_spa_3	Tu souhaites savoir ce qui me rend si irrésistible ? Oh ho ho ho. Tu joues les innocents pour me séduire ?
sc065_spa_4	J'aimerais bien que tu égaies cette atmosphère maussade.
sc065_spa_max	Je n'ai que faire de l'amour. Ça revient à batifoler en cachette. Mais si tu insistes pour en faire l'expérience, je pourrais te montrer quelque chose de très... similaire.
sc066_spa_1	Ce n'est pas un peu... exposé, ici ?
sc066_spa_2	Oh, tu es là, toi aussi ? Je voudrais passer la journée à me détendre seul, si tu veux bien.
sc066_spa_3	Tes pouvoirs magiques sont si faibles que je les sens à peine. À ta place, je resterais tranquille et j'essaierais de ne pas gaspiller le peu que j'ai. Mais tu ne comprends pas ça. Tu es un enfant, après tout.
sc066_spa_4	Ces derniers temps, je ne me lasse pas d'asticoter les démons stupides. Ils font des cibles si faciles. Ça te fait rire ? Tu en fais partie, je te signale.
sc066_spa_max	Je fais mon travail, mais j'essaie de ne pas trop épuiser mon corps. Je ne suis pas un modèle de santé. Tu m'as compris ? Ne m'en demande pas trop.
sc067_spa_1	J'imagine qu'oublier la mort ne fait pas de mal, de temps à autre.
sc067_spa_2	La vie est une prison. Et la clé de la liberté éternelle... est la mort.
sc067_spa_3	Tu veux que je reste ici à attendre que le temps passe ? Pourquoi ? Joins-toi à moi et terminons-en avec cette vie morose ici et maintenant.
sc067_spa_4	Je ne souhaite qu'une chose : la mort. Pourtant, quand je suis ici, j'ai l'étrange impression que la vie n'est pas que souffrances infinies.
sc067_spa_5	La vie a de nombreuses facettes, mais n'aboutit qu'à une chose : la mort. Ne néglige pas ton existence.
sc067_spa_max	Démons... Childs... Tous comprennent ce qui lie la vie à la mort, mais au bout du compte, on est tous seuls. Ainsi soit-il. Si tu choisis la vie, moi aussi.
sc068_spa_1	Après ça, je préparerai mon milkshake spécial !
sc068_spa_2	Tu veux connaître mon ingrédient secret ? Ce n'est pas pour rien qu'il s'appelle comme ça. Oh, et puis zut, je vais te le dire. Mon secret, c'est... mon talent inné !
sc068_spa_3	Je t'ai préparé une douceur spéciale extra sucrée ! Alors, tu as hâte ?
sc068_spa_4	Comment ça, tu n'es pas sûr du goût ? Ce n'est pas normal. Bon, la prochaine fois, je te ferai quelque chose de si bon que tu en resteras bouche bée !
sc068_spa_max	Je vais te révéler la sauce secrète de mon dessert spécial. Eh oui ! C'est la douce émotion que ressentent les filles intimidées à l'idée de rencontrer leurs démons : le premier amour ! ♥
sc069_spa_1	Toi ici ? Étonnant.
sc069_spa_2	Tous les autres Childs ont des maîtres trop stylés. Pourquoi le mien est aussi... Aussi... Enfin, comme ça, quoi ?
sc069_spa_3	Tu es plutôt astucieux, en fait. Tu as l'air complètement idiot, mais tu finis toujours par t'en sortir.
sc069_spa_max	Hé ! Ça te dérange pas de rester un petit joueur toute ta vie ? Je sais que tu es un bien meilleur prétendant que la plupart, Maître. Alors prouve-le !
sc072_spa_1	Je ne dois pas baisser ma garde...
sc072_spa_2	Sois honnête, petit gars. Tu ne me fais pas confiance, hein ?
sc072_spa_3	Hé, petit gars, ne disparais pas comme ça. Mais qu'est-ce que je vais faire de toi ? Qui sait dans quel pétrin tu pourrais te fourrer ?
sc072_spa_4	Je ne veille pas sur toi pour que tu me remercies. Quoi ? Non, je ne suis pas gêné. C'est juste que... Attends. Tu te moques de moi, là ?
sc072_spa_max	Écoute, je sais que tu en as marre que je sois toujours sur ton dos. Mais c'est ma mission de te protéger. C'est pour ça que je suis né.
sc073_spa_1	Ça n'a pas l'air trop mal.
sc073_spa_2	Futile. Devenir un Child... Se battre... Tout est futile.
sc073_spa_3	Pourquoi profiter pleinement de la vie ? Même si je vais bien aujourd'hui, qu'en sera-t-il demain ? Nul ne connaît l'avenir.
sc073_spa_4	Démon obstiné. Tu ne fais que te plaindre. Et pourtant, tu perds encore ton temps avec moi.
sc073_spa_5	Si tout est condamné au néant, alors je devrais au moins suivre mon cœur et réaliser mes rêves.
sc073_spa_max	Je suis lâche et paresseuse. Si tu n'ouvres pas la voie, je ne bougerai pas d'ici.
sc074_spa_1	Menteur ! Vous aviez dit que ce serait agréable, mais c'est juste de l'eau chaude !
sc074_spa_2	M. Démon ! Vous avez encore oublié ? C'est Mademoiselle Mona que j'aime bien, pas vous ! C'est quoi, cette tête ? Vous boudez ?
sc074_spa_3	M. Démon ! Un petit oiseau m'a dit que vous trouviez mes encouragements pénibles. Eh bien ? Parlez franchement.
sc074_spa_4	Comme il faut bien changer d'encouragement de temps en temps, j'essaie autre chose ! Allez, c'est partiii ! Hé, pourquoi vous vous bouchez les oreilles ?
sc074_spa_max	Ça m'étonne que vous ne débordiez pas d'énergie tous les jours avec tout le mal que je me donne. Et votre propension légendaire à persévérer dans la fainéantise... Incroyable ! Alors ? Vous aimez mon sarcasme ?
sc082_spa_1	J-Je ne m'attendais pas à ça. Je pensais que j'irais seul...
sc082_spa_2	Amitié, c'est bien comme ça que les humains désignent notre relation ? Je crois que je préfère ça à "Maître et Child" !
sc082_spa_3	Vous n'êtes pas vraiment un solitaire, au fond, n'est-ce pas ? Juste une intuition. Si c'était vraiment le cas, vous ne passeriez pas tant de temps avec vos Childs.
sc082_spa_4	Ah, vous voilà. Je me doutais que vous viendriez, alors je vous attends depuis un moment. Sacrée intuition, hein ?
sc082_spa_max	Je repensais à notre rencontre. D'aucuns diraient que c'était l'œuvre du destin. Et vous, que diriez-vous, Maître ?
sc083_spa_1	À quoi tu penses, papa ? Tu es tout rouge.
sc083_spa_2	Pourquoi t'es vénère ? Parce que mon bazooka défonce tout et pas le tien ? C'est juste une histoire de puissance ! Fais pas ta chochotte !
sc083_spa_3	Je suis qu'une enfant, hein, alors sois plus gentil avec moi, Papa.
sc083_spa_4	J'en ai marre, des leçons. J'ai pas de compétences pratiques ? Eh bien, on sait de qui je tiens ça, hein, Papa.
sc083_spa_max	Les enfants grandissent en se nourrissant de l'amour de leurs parents. Alors il faut que tu me donnes plein d'amour, d'accord, Papa ? ♥
sc086_spa_1	Tralala, merci pour cet en-cas ! *mâche*
sc086_spa_2	Vous avez mal au ventre ? Cette tache sur votre chemise... Vous n'avez pas mangé le plat que j'avais accidentellement empoisonné, si ?
sc086_spa_3	Je cherche toujours des recettes pour vous, M. Démon. Cette fois, j'ai commencé par une soupe aux griffes de chauve-souris et fait bouillir des langues de lézards...
sc086_spa_max	Moi ? Vous regarder manger ce que je prépare me suffit, M. Démon.
sc090_spa_1	Eh bien ? Qu'attends-tu pour entrer ?
sc090_spa_2	Répète après moi : GLOIRE À VULCAIN ! Ahem. Je ne t'entends pas ! Tes acclamations sont trop ténues !
sc090_spa_3	Il n'y a qu'une manière de faire connaître ma grandeur dans le monde entier. Il faut que tu deviennes Roi des démons !
sc090_spa_max	Si tu es vraiment prétendant au trône des démons, tiens-toi droit et marche comme il faut.
sc091_spa_1	Aaah... ça fait longtemps que je n'ai pas été aussi détendue.
sc091_spa_2	Maître, je te protègerai,\quoi qu'il arrive.\Tu es encore trop faible.
sc091_spa_3	Oh, ça te gêne, que je doive t'aider ?\Dommage pour toi.\Tu es encore trop faible.
sc091_spa_4	Un jour, ta générosité\te jouera des tours, Maître.
sc091_spa_5	N'aie pas peur de me confier des tâches.\J'existe pour te servir.
sc091_spa_max	Tu existes pour moi\tout autant que moi pour toi, Maître.\Comment pourrais-je\ne pas te protéger ?
sc095_spa_1	Aaah, j'ai l'impression de fondre...
sc095_spa_2	Hmm, pourquoi est-ce que mon maître est aussi faible ? Il évite toujours de s'entraîner avec moi. Est-ce que je suis destinée à être sans cesse déçue ?
sc095_spa_3	Par rapport aux autres démons, le maître a de drôles d'enseignements. Mais je ferai de mon mieux pour les intégrer !
sc095_spa_max	Alors vous vous êtes enfin décidé à m'affronter. J'espère que vous êtes prêt ! Je ne retiendrai pas mes coups ! Ce combat restera dans les annales !
sc099_spa_1	Se prélasser aux sources chaudes ? C'est pas du tout métal !
sc099_spa_2	Sois content qu'on se soit rencontrés ! Sans moi, t'aurais jamais su ce que c'est qu'un véritable esprit démoniaque !
sc099_spa_3	J'aime pas trop les vieux tubes, mais si ça plaît à un démon, pourquoi pas... Hein ? Qu'est-ce que... C'est la musique de cette imbécile d'Aria ? Purée ! Je me suis encore fait avoir !
sc099_spa_4	Arrête de résister. Fusionne avec l'esprit du métal ! Ha ha ha ! Pas mal, ça te va mieux que je l'aurais cru !
sc099_spa_max	Muse dit que la musique est un dialogue entre les âmes. Alors ouvre l'oreille et écoute ce que mon cœur a à dire.
sc101_spa_1	Ouuh, c'est chaud !
sc101_spa_2	Vil démon ! Messager de l'enfer ! R-Reste où tu es !
sc101_spa_3	Tu essaies juste de me conduire sur le chemin du mal ! Mais tu n'y arriveras pas ! Je n'écoute pas les démons.
sc101_spa_4	J'ai toujours cru que personne ne naissait mauvais.
sc101_spa_5	Est-ce qu'un démon peut devenir bon s'il apprend à aimer ? Si je purgeais ton cœur, tu deviendrais peut-être pur et gentil... comme un ange.
sc101_spa_max	Alors même les démons se sentent parfois seuls. On dirait que tu as besoin d'une amie. Je peux peut-être t'aider...
